figure_number,filename,path
1,figure_020.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_020.png
1,figure_021.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_021.png
1,figure_022.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_022.png
1,figure_023.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_023.png
1,figure_024.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_024.png
1,figure_025.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_025.png
1,figure_026.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_026.png
1,figure_027.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_027.png
1,figure_028.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_028.png
1,figure_029.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_029.png
1,figure_030.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_030.png
1,figure_031.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_031.png
1,figure_032.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_032.png
1,figure_033.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_033.png
1,figure_034.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_034.png
1,figure_035.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_035.png
1,figure_036.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_036.png
1,figure_037.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_037.png
1,figure_038.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_038.png
1,figure_039.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_039.png
1,figure_040.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_040.png
1,figure_041.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_041.png
1,figure_042.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_042.png
1,figure_043.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_043.png
1,figure_044.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_044.png
1,figure_045.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_045.png
1,figure_046.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_046.png
1,figure_047.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_047.png
1,figure_048.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_048.png
1,figure_049.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_049.png
1,figure_050.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_050.png
1,figure_051.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_051.png
1,figure_052.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_052.png
1,figure_053.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_053.png
1,figure_054.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_054.png
1,figure_055.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_055.png
1,figure_056.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_056.png
1,figure_057.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_057.png
1,figure_058.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_058.png
1,figure_059.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_059.png
1,figure_060.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_060.png
1,figure_061.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_061.png
1,figure_062.png,C:\Users\jerem\job_analysis\2026_ai_job_market_analysis\outputs\figures\figure_062.png
