job_title,normalized_title,esco_occupation,company,country,city,remote_type,experience_level,source,salary_min,salary_max,salary_avg,currency,posted_date,job_description,description_truncated,original_skills_list,completed_skills_list,llm_validated_skills_list,llm_removed_skills_list,recommended_skills_list,recommended_skills,skill_inference_method,recommended_skill_source,llm_status,llm_keep_rate,has_recommended_skills,n_recommended_skills,n_original_skills,posted_month,has_salary,has_original_skills,remote_type_clean,experience_level_clean
Machine Learning AI Engineer,Machine Learning Engineer,artificial intelligence engineer,Jobot,United States,Acton,Unspecified,Mid-level,Adzuna,100000.0,100000.0,100000.0,USD,2026-02-16,"New Healthcare Finance Organization is Looking to hire Medicaid Enrollment Specialists to Work with Local Upper Manhattan Hospital! This Jobot Job is hosted by: Joshua Tacke Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $65,000 - $65,000 per year A bit about us: We are a new, dynamic, private equity backed healthcare organization dedicated to providing high-quality care to our community. The Patient Advocate / Enrollment Specialist is responsib…",True,[],"['azure', 'python', 'r', 'docker', 'computer vision']","['azure', 'python', 'computer vision']","['docker', 'r']","['azure', 'python', 'computer vision']","azure, python, computer vision",knn_inference,llm_validated_with_rescue,ok,0.6,True,3,0,2026-02,True,False,Unspecified,Mid-level
Machine Learning AI Engineer,Machine Learning Engineer,artificial intelligence engineer,Jobot,United States,Santa Monica,Unspecified,Mid-level,Adzuna,107000.0,107000.0,107000.0,USD,2026-02-16,"Excellent 1st shift opportunity! This Jobot Job is hosted by: Craig Rosecrans Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $25 - $36 per hour A bit about us: We are seeking a skilled Maintenance Technician with a background in Paper Mill Machinery to join our dynamic team in the Manufacturing industry. As a Maintenance Technician, you will be an integral part of our operations, ensuring that our machinery is maintained and serviced to the high…",True,[],"['rag', 'r', 'azure', 'docker', 'python', 'transformers']","['azure', 'docker', 'python', 'transformers']","['r', 'rag']","['azure', 'docker', 'python', 'transformers']","azure, docker, python, transformers",knn_inference,llm_validated_with_rescue,ok,0.6666666666666666,True,4,0,2026-02,True,False,Unspecified,Mid-level
Staff AI Research Engineer,Research Scientist,research engineer,Lockheed Martin,United States,Nebraska,Unspecified,Lead,Adzuna,100000.0,100000.0,100000.0,USD,2026-01-14,"Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world's hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",True,[],"['rag', 'computer vision', 'r']","['rag', 'computer vision', 'r']",[],"['rag', 'computer vision', 'r']","rag, computer vision, r",knn_inference,llm_validated_with_rescue,ok,1.0,True,3,0,2026-01,True,False,Unspecified,Lead
Staff AI Research Engineer,Research Scientist,research engineer,Lockheed Martin,United States,Offutt Air Force Base,Unspecified,Lead,Adzuna,106000.0,106000.0,106000.0,USD,2026-02-20,"Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world‘s hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",True,[],"['rag', 'computer vision', 'r']","['rag', 'computer vision', 'r']",[],"['rag', 'computer vision', 'r']","rag, computer vision, r",knn_inference,llm_validated_with_rescue,ok,1.0,True,3,0,2026-02,True,False,Unspecified,Lead
AWS AI Engineer,AI Engineer,artificial intelligence engineer,"The Computer Merchant, LTD.",United States,Boston,Unspecified,Mid-level,Adzuna,130000.0,130000.0,130000.0,USD,2026-02-06,"JOB TITLE: AWS AI Engineer JOB LOCATION: Boston MA WAGE RANGE*: $75-$78 JOB NUMBER: Client-26-1030-0P100-0P110-125144 JOB DESCRIPTION: At MassDOT IT, our AI Engineering Team builds custom web applications with leading LLMs, largely in secure Amazon Bedrock environments. Our aim is to streamline business processes and deliver constituent value by implementing AI solutions responsibly. Data security and human-centered design are core to our approach, as we operate in a highly regulated industry. …",True,['aws'],['aws'],[],[],['aws'],aws,original,original,not_validated,0.0,True,1,1,2026-02,True,True,Unspecified,Mid-level
Python/AI Engineer,AI Engineer,artificial intelligence engineer,Collabera,United States,North Carolina,Hybrid,Mid-level,Adzuna,115000.0,115000.0,115000.0,USD,2026-02-18,"Job Title: Python/AI Engineer Location: Charlotte, NC Work Arrangement: Hybrid Client Industry: Banking/Finance Duration: 12 – 18 months CTH About the Role We are hiring an Python/AI Engineer to join our client on a contract basis. This is a fantastic opportunity to work with one of the most innovative Banking companies in the U.S. What We’re Looking For: 7 / 8 years’ experience as Python Developer Strong API , SQL skills and preferably with AI, RAG pipeline experience (Conversational AI- any a…",True,"['database management systems', 'python', 'rag']","['database management systems', 'python', 'rag']",[],[],"['database management systems', 'python', 'rag']","database management systems, python, rag",original,original,not_validated,0.0,True,3,3,2026-02,True,True,Hybrid,Mid-level
Agentic AI Engineer,AI Engineer,artificial intelligence engineer,BIZTECHNOSYS INFOTECH LLP,United States,Chelsea and Clinton,Onsite,Mid-level,Adzuna,148000.0,148000.0,148000.0,USD,2026-01-28,"Please share your updated resume to the e-mail. I can be reached at 702-570-0660 JD : Agentic AI Engineer Experience: 1-2 years Location: New York, NY, NJ, PA (Onsite) Design, Develop and Implement agentic ai application with orchestration and workflows using any framework like Langchain/Langraph/Google ADK, etc. Design, Develop and Implement RAG (Retrieval Augmented Generation) with proper word embeddings, chunks, versions using any vector db and framework Collaborate with data engineering tea…",True,"['langchain', 'rag']","['langchain', 'rag']",[],[],"['langchain', 'rag']","langchain, rag",original,original,not_validated,0.0,True,2,2,2026-01,True,True,On-site,Mid-level
Senior AI Engineers,AI Engineer,artificial intelligence engineer,"American Express Travel Related Services Company, Inc.",United States,Arizona,Unspecified,Senior,Adzuna,158000.0,158000.0,158000.0,USD,2026-02-13,"American Express Travel Related Services Company, Inc. seeks Senior AI Engineers to serve as a core member of an engineering team to develop digital and automated solutions for our customers. Develop and design software applications, translating user needs into systems architecture. Assess and validate application performance and integration of component systems and provide process flow diagrams. Test the engineering resilience of software and automation tools. Assess and incorporate user story…",True,[],"['nlp', 'python', 'aws', 'azure', 'gcp', 'r']","['nlp', 'python']","['aws', 'azure', 'gcp', 'r']","['nlp', 'python', 'aws', 'azure', 'gcp']","nlp, python, aws, azure, gcp",knn_inference,llm_validated_with_rescue,ok,0.3333333333333333,True,5,0,2026-02,True,False,Unspecified,Senior
Kubernetes AI Engineer,AI Engineer,artificial intelligence engineer,Lockheed Martin,United States,Orlando,Unspecified,Mid-level,Adzuna,195000.0,195000.0,195000.0,USD,2026-02-17,"Job ID: 716663BR Date posted: Feb. 02, 2026 Description: Are you ready to unlock the full potential of Artificial Intelligence and be part of a team that's revolutionizing the industry? Look no further! The Lockheed Martin Artificial Intelligence Center (LAIC) team is seeking a high energy, highly motivated, and experienced individual to join our Applied AI team, specifically the Cognitive Modules portfolio. As a key member of our team, you'll have the opportunity to work on a wide range of pro…",True,['kubernetes'],['kubernetes'],[],[],['kubernetes'],kubernetes,original,original,not_validated,0.0,True,1,1,2026-02,True,True,Unspecified,Mid-level
Senior AI/ML Engineer with Poly,Machine Learning Engineer,artificial intelligence engineer,Lockheed Martin,United States,Savage,Unspecified,Senior,Adzuna,192000.0,192000.0,192000.0,USD,2026-02-10,"Job ID: 705786BR Date posted: Jan. 06, 2026 Description: THE WORK The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models they create should be capable of learning and making predictions as defined by the business logic developed to meet customer requirements. The AI/ML Engineer should be proficient in all aspects of model architecture, data pipeline interaction, and metrics applicatio…",True,[],"['nlp', 'rag', 'computer vision']","['nlp', 'rag', 'computer vision']",[],"['nlp', 'rag', 'computer vision']","nlp, rag, computer vision",knn_inference,llm_validated_with_rescue,ok,1.0,True,3,0,2026-02,True,False,Unspecified,Senior
AI Engineer,AI Engineer,artificial intelligence engineer,Koniag Government Services,United States,"Washington, D.C.",Unspecified,Mid-level,Adzuna,96000.0,96000.0,96000.0,USD,2026-02-04,"Koniag Management Solutions, LLC a Koniag Government Services company, is seeking an AI Engineer to support KMS and our government customer at Washington, DC. This position requires the candidate to be able to obtain a Public Trust. This position is for a Future New Business Opportunity. We offer competitive compensation and an extraordinary benefits package including health, dental and vision insurance, 401K with company matching, flexible spending accounts, paid holidays, three weeks paid tim…",True,[],"['rag', 'r', 'kubernetes']","['rag', 'kubernetes']",['r'],"['rag', 'kubernetes']","rag, kubernetes",knn_inference,llm_validated_with_rescue,ok,0.6666666666666666,True,2,0,2026-02,True,False,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Motion Recruitment Partners,United States,Concord,Hybrid,Mid-level,Adzuna,134000.0,134000.0,134000.0,USD,2026-02-12,"AI Engineer CONCORD, California Hybrid Contract $79.81/hr - $87.47/hr Outstanding long-term contract opportunity! A well-known Financial Services Company is looking for an AI Engineer in Concord, CA (Hybrid). Work with the brightest minds at one of the largest financial institutions in the world. This is a long-term contract opportunity that includes a competitive benefit package! Our client has been around for over 150 years and is continuously innovating in today's digital age. If you want to…",True,[],"['rag', 'r', 'pytorch', 'langchain']","['pytorch', 'langchain']","['r', 'rag']","['pytorch', 'langchain']","pytorch, langchain",knn_inference,llm_validated_with_rescue,ok,0.5,True,2,0,2026-02,True,False,Hybrid,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Leidos,United States,Redstone Arsenal,Unspecified,Mid-level,Adzuna,128000.0,128000.0,128000.0,USD,2026-02-21,"Description At Leidos,you'llcontribute to AI solutions that serve critical national and global missions-ranging from defense and intelligence tohealthcare, energy, and space exploration. Our work emphasizes Trusted Mission AI: systems that are transparent, ethical, resilient, andaccountable.You'llcollaborate with multidisciplinary teams to transition AI research into operational environments where accuracy, security,and reliability are non-negotiable. Joining Leidos means applying yourexpertise…",True,[],"['nlp', 'computer vision', 'python', 'azure', 'rag', 'fine-tuning']","['nlp', 'computer vision', 'python']","['azure', 'fine-tuning', 'rag']","['nlp', 'computer vision', 'python']","nlp, computer vision, python",knn_inference,llm_validated_with_rescue,ok,0.5,True,3,0,2026-02,True,False,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,"CGI Technologies and Solutions, Inc.",United States,Lafayette,Unspecified,Mid-level,Adzuna,158000.0,158000.0,158000.0,USD,2026-02-03,"AI Engineer Category: Analytics and Emerging Digital Technologies Main location: United States, Louisiana, Lafayette Position ID: J0126-2458 Employment Type: Full Time Position Description: Join a transformative federal technology initiative and help build AI-driven solutions that modernize mission-critical systems! As an AI Engineer, you'll design and deploy machine learning models, integrate AI workflows into enterprise applications, and enable automation at scale. If you're passionate about …",True,[],"['nlp', 'rag', 'langchain', 'docker', 'python']","['nlp', 'langchain', 'docker', 'python']",['rag'],"['nlp', 'langchain', 'docker', 'python']","nlp, langchain, docker, python",knn_inference,llm_validated_with_rescue,ok,0.8,True,4,0,2026-02,True,False,Unspecified,Mid-level
AI Engineer with Azure Databricks,Data Engineer,data engineer,Genesis10,United States,Charlotte,Hybrid,Senior,Adzuna,100000.0,100000.0,100000.0,USD,2026-02-03,"Genesis10 is seeking an AI Engineer with Azure Databricks with our financial services client in Charlotte, NC. This is a 6 month contract hybrid position. Summary: We are seeing a highly skilled senior AI Engineer to join our innovative team. The ideal candidate will be responsible for developing and deploying intelligent AI solutions using VS Code, Azure AI Studio, and Databricks. You will integrate AI powered solutions across multiple channels like Web applications, etc. Key Responsibilities:…",True,['azure'],['azure'],[],[],['azure'],azure,original,original,not_validated,0.0,True,1,1,2026-02,True,True,Hybrid,Senior
AI Engineer,AI Engineer,artificial intelligence engineer,Zions Bancorporation,United States,Cushing,Unspecified,Mid-level,Adzuna,181000.0,181000.0,181000.0,USD,2026-02-13,"Zions Bancorporation's Enterprise Technology and Operations (ETO) team is transforming what it means to work for a financial institution. With a commitment to technology and innovation, we have been providing our community, clients and colleagues the best experience possible for over 150 years. Help us transform our workforce of the future, today. We are seeking a dynamic and visionary AI Engineer to join our newly establishedInnovation Lab. In this pivotal role, you will combine core software …",True,[],"['azure', 'openai', 'aws']","['azure', 'openai']",['aws'],"['azure', 'openai']","azure, openai",knn_inference,llm_validated_with_rescue,ok,0.6666666666666666,True,2,0,2026-02,True,False,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Wake Island,Unspecified,Mid-level,Adzuna,106000.0,106000.0,106000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Pierre,Unspecified,Mid-level,Adzuna,173000.0,173000.0,173000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Five Points,Unspecified,Mid-level,Adzuna,129000.0,129000.0,129000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Grandview Heights,Unspecified,Mid-level,Adzuna,142000.0,142000.0,142000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Atlanta,Unspecified,Mid-level,Adzuna,162000.0,162000.0,162000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Salem,Unspecified,Mid-level,Adzuna,110000.0,110000.0,110000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Des Moines,Unspecified,Mid-level,Adzuna,112000.0,112000.0,112000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Madison,Unspecified,Mid-level,Adzuna,117000.0,117000.0,117000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Nashville,Unspecified,Mid-level,Adzuna,119000.0,119000.0,119000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Lansing,Unspecified,Mid-level,Adzuna,121000.0,121000.0,121000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Cognizant,United States,Boise,Unspecified,Mid-level,Adzuna,114000.0,114000.0,114000.0,USD,2026-01-09,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",True,"['database management systems', 'python']","['database management systems', 'python']",[],[],"['database management systems', 'python']","database management systems, python",original,original,not_validated,0.0,True,2,2,2026-01,True,True,Unspecified,Mid-level
