job_posting_id,job_title,job_title_original,company,country,city,city_clean,remote_type,experience_level,source,salary_min,salary_max,salary_avg,currency,posted_date,year,month,year_month,job_description,description_length,description_truncated,normalized_title,title_similarity,normalization_method,esco_occupation,required_skills,original_skills_list,has_original_skills,n_original_skills,inferred_skills_knn,completed_skills_list,skill_inference_method,has_section9_completed_skills,n_section9_completed_skills,needs_llm_validation,llm_status,llm_validated_skills_list,llm_removed_skills_list,llm_skill_reasons,llm_keep_rate,recommended_skills_list,recommended_skills,final_recommended_skills,recommended_skill_source,final_skill_source,has_recommended_skills,n_recommended_skills,n_final_recommended_skills,recommended_skills_text,salary_band
11,Machine Learning AI Engineer,Machine Learning AI Engineer,Jobot,United States,Acton,acton,Unspecified,Mid-level,Adzuna,100000.0,100000.0,100000.0,USD,2026-02-16,2026.0,2.0,2026-02,"New Healthcare Finance Organization is Looking to hire Medicaid Enrollment Specialists to Work with Local Upper Manhattan Hospital! This Jobot Job is hosted by: Joshua Tacke Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $65,000 - $65,000 per year A bit about us: We are a new, dynamic, private equity backed healthcare organization dedicated to providing high-quality care to our community. The Patient Advocate / Enrollment Specialist is responsib…",500,True,Machine Learning Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['azure', 'python', 'r', 'docker', 'computer vision']","['azure', 'python', 'r', 'docker', 'computer vision']",knn_inference,True,5,True,ok,"['azure', 'python', 'computer vision']","['docker', 'r']",{},0.6,"['azure', 'python', 'computer vision']","azure, python, computer vision","azure, python, computer vision",llm_validated_with_rescue,llm_validated_with_rescue,True,3,3,"azure, python, computer vision",Medium
12,Machine Learning AI Engineer,Machine Learning AI Engineer,Jobot,United States,Santa Monica,santa monica,Unspecified,Mid-level,Adzuna,107000.0,107000.0,107000.0,USD,2026-02-16,2026.0,2.0,2026-02,"Excellent 1st shift opportunity! This Jobot Job is hosted by: Craig Rosecrans Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $25 - $36 per hour A bit about us: We are seeking a skilled Maintenance Technician with a background in Paper Mill Machinery to join our dynamic team in the Manufacturing industry. As a Maintenance Technician, you will be an integral part of our operations, ensuring that our machinery is maintained and serviced to the high…",500,True,Machine Learning Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['rag', 'r', 'azure', 'docker', 'python', 'transformers']","['rag', 'r', 'azure', 'docker', 'python', 'transformers']",knn_inference,True,6,True,ok,"['azure', 'docker', 'python', 'transformers']","['r', 'rag']",{},0.6666666666666666,"['azure', 'docker', 'python', 'transformers']","azure, docker, python, transformers","azure, docker, python, transformers",llm_validated_with_rescue,llm_validated_with_rescue,True,4,4,"azure, docker, python, transformers",Medium
13,Staff AI Research Engineer,Staff AI Research Engineer,Lockheed Martin,United States,Nebraska,nebraska,Unspecified,Lead,Adzuna,100000.0,100000.0,100000.0,USD,2026-01-14,2026.0,1.0,2026-01,"Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world's hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",500,True,Research Scientist,1.0,rule,research engineer,,[],False,0,"['rag', 'computer vision', 'r']","['rag', 'computer vision', 'r']",knn_inference,True,3,True,ok,"['rag', 'computer vision', 'r']",[],{},1.0,"['rag', 'computer vision', 'r']","rag, computer vision, r","rag, computer vision, r",llm_validated_with_rescue,llm_validated_with_rescue,True,3,3,"rag, computer vision, r",Medium
14,Staff AI Research Engineer,Staff AI Research Engineer,Lockheed Martin,United States,Offutt Air Force Base,offutt air force base,Unspecified,Lead,Adzuna,106000.0,106000.0,106000.0,USD,2026-02-20,2026.0,2.0,2026-02,"Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world‘s hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",500,True,Research Scientist,1.0,rule,research engineer,,[],False,0,"['rag', 'computer vision', 'r']","['rag', 'computer vision', 'r']",knn_inference,True,3,True,ok,"['rag', 'computer vision', 'r']",[],{},1.0,"['rag', 'computer vision', 'r']","rag, computer vision, r","rag, computer vision, r",llm_validated_with_rescue,llm_validated_with_rescue,True,3,3,"rag, computer vision, r",Medium
15,AWS AI Engineer,AWS AI Engineer,"The Computer Merchant, LTD.",United States,Boston,boston,Unspecified,Mid-level,Adzuna,130000.0,130000.0,130000.0,USD,2026-02-06,2026.0,2.0,2026-02,"JOB TITLE: AWS AI Engineer JOB LOCATION: Boston MA WAGE RANGE*: $75-$78 JOB NUMBER: Client-26-1030-0P100-0P110-125144 JOB DESCRIPTION: At MassDOT IT, our AI Engineering Team builds custom web applications with leading LLMs, largely in secure Amazon Bedrock environments. Our aim is to streamline business processes and deliver constituent value by implementing AI solutions responsibly. Data security and human-centered design are core to our approach, as we operate in a highly regulated industry. …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,AWS,['aws'],True,1,[],['aws'],original,True,1,False,not_validated,[],[],{},0.0,['aws'],aws,aws,original,original,True,1,1,aws,High
16,Python/AI Engineer,Python/AI Engineer,Collabera,United States,North Carolina,north carolina,Hybrid,Mid-level,Adzuna,115000.0,115000.0,115000.0,USD,2026-02-18,2026.0,2.0,2026-02,"Job Title: Python/AI Engineer Location: Charlotte, NC Work Arrangement: Hybrid Client Industry: Banking/Finance Duration: 12 – 18 months CTH About the Role We are hiring an Python/AI Engineer to join our client on a contract basis. This is a fantastic opportunity to work with one of the most innovative Banking companies in the U.S. What We’re Looking For: 7 / 8 years’ experience as Python Developer Strong API , SQL skills and preferably with AI, RAG pipeline experience (Conversational AI- any a…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, SQL, RAG","['database management systems', 'python', 'rag']",True,3,[],"['database management systems', 'python', 'rag']",original,True,3,False,not_validated,[],[],{},0.0,"['database management systems', 'python', 'rag']","database management systems, python, rag","database management systems, python, rag",original,original,True,3,3,"database management systems, python, rag",Medium
17,Agentic AI Engineer,Agentic AI Engineer,BIZTECHNOSYS INFOTECH LLP,United States,Chelsea and Clinton,chelsea and clinton,Onsite,Mid-level,Adzuna,148000.0,148000.0,148000.0,USD,2026-01-28,2026.0,1.0,2026-01,"Please share your updated resume to the e-mail. I can be reached at 702-570-0660 JD : Agentic AI Engineer Experience: 1-2 years Location: New York, NY, NJ, PA (Onsite) Design, Develop and Implement agentic ai application with orchestration and workflows using any framework like Langchain/Langraph/Google ADK, etc. Design, Develop and Implement RAG (Retrieval Augmented Generation) with proper word embeddings, chunks, versions using any vector db and framework Collaborate with data engineering tea…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"LangChain, RAG","['langchain', 'rag']",True,2,[],"['langchain', 'rag']",original,True,2,False,not_validated,[],[],{},0.0,"['langchain', 'rag']","langchain, rag","langchain, rag",original,original,True,2,2,"langchain, rag",High
18,Senior AI Engineers,Senior AI Engineers,"American Express Travel Related Services Company, Inc.",United States,Arizona,arizona,Unspecified,Senior,Adzuna,158000.0,158000.0,158000.0,USD,2026-02-13,2026.0,2.0,2026-02,"American Express Travel Related Services Company, Inc. seeks Senior AI Engineers to serve as a core member of an engineering team to develop digital and automated solutions for our customers. Develop and design software applications, translating user needs into systems architecture. Assess and validate application performance and integration of component systems and provide process flow diagrams. Test the engineering resilience of software and automation tools. Assess and incorporate user story…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['nlp', 'python', 'aws', 'azure', 'gcp', 'r']","['nlp', 'python', 'aws', 'azure', 'gcp', 'r']",knn_inference,True,6,True,ok,"['nlp', 'python']","['aws', 'azure', 'gcp', 'r']",{},0.3333333333333333,"['nlp', 'python', 'aws', 'azure', 'gcp']","nlp, python, aws, azure, gcp","nlp, python, aws, azure, gcp",llm_validated_with_rescue,llm_validated_with_rescue,True,5,5,"nlp, python, aws, azure, gcp",High
19,Kubernetes AI Engineer,Kubernetes AI Engineer,Lockheed Martin,United States,Orlando,orlando,Unspecified,Mid-level,Adzuna,195000.0,195000.0,195000.0,USD,2026-02-17,2026.0,2.0,2026-02,"Job ID: 716663BR Date posted: Feb. 02, 2026 Description: Are you ready to unlock the full potential of Artificial Intelligence and be part of a team that's revolutionizing the industry? Look no further! The Lockheed Martin Artificial Intelligence Center (LAIC) team is seeking a high energy, highly motivated, and experienced individual to join our Applied AI team, specifically the Cognitive Modules portfolio. As a key member of our team, you'll have the opportunity to work on a wide range of pro…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,Kubernetes,['kubernetes'],True,1,[],['kubernetes'],original,True,1,False,not_validated,[],[],{},0.0,['kubernetes'],kubernetes,kubernetes,original,original,True,1,1,kubernetes,Very High
20,Senior AI/ML Engineer with Poly,Senior AI/ML Engineer with Poly,Lockheed Martin,United States,Savage,savage,Unspecified,Senior,Adzuna,192000.0,192000.0,192000.0,USD,2026-02-10,2026.0,2.0,2026-02,"Job ID: 705786BR Date posted: Jan. 06, 2026 Description: THE WORK The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models they create should be capable of learning and making predictions as defined by the business logic developed to meet customer requirements. The AI/ML Engineer should be proficient in all aspects of model architecture, data pipeline interaction, and metrics applicatio…",500,True,Machine Learning Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['nlp', 'rag', 'computer vision']","['nlp', 'rag', 'computer vision']",knn_inference,True,3,True,ok,"['nlp', 'rag', 'computer vision']",[],{},1.0,"['nlp', 'rag', 'computer vision']","nlp, rag, computer vision","nlp, rag, computer vision",llm_validated_with_rescue,llm_validated_with_rescue,True,3,3,"nlp, rag, computer vision",Very High
21,AI Engineer,AI Engineer,Koniag Government Services,United States,"Washington, D.C.","washington, d.c.",Unspecified,Mid-level,Adzuna,96000.0,96000.0,96000.0,USD,2026-02-04,2026.0,2.0,2026-02,"Koniag Management Solutions, LLC a Koniag Government Services company, is seeking an AI Engineer to support KMS and our government customer at Washington, DC. This position requires the candidate to be able to obtain a Public Trust. This position is for a Future New Business Opportunity. We offer competitive compensation and an extraordinary benefits package including health, dental and vision insurance, 401K with company matching, flexible spending accounts, paid holidays, three weeks paid tim…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['rag', 'r', 'kubernetes']","['rag', 'r', 'kubernetes']",knn_inference,True,3,True,ok,"['rag', 'kubernetes']",['r'],{},0.6666666666666666,"['rag', 'kubernetes']","rag, kubernetes","rag, kubernetes",llm_validated_with_rescue,llm_validated_with_rescue,True,2,2,"rag, kubernetes",Medium
22,AI Engineer,AI Engineer,Motion Recruitment Partners,United States,Concord,concord,Hybrid,Mid-level,Adzuna,134000.0,134000.0,134000.0,USD,2026-02-12,2026.0,2.0,2026-02,"AI Engineer CONCORD, California Hybrid Contract $79.81/hr - $87.47/hr Outstanding long-term contract opportunity! A well-known Financial Services Company is looking for an AI Engineer in Concord, CA (Hybrid). Work with the brightest minds at one of the largest financial institutions in the world. This is a long-term contract opportunity that includes a competitive benefit package! Our client has been around for over 150 years and is continuously innovating in today's digital age. If you want to…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['rag', 'r', 'pytorch', 'langchain']","['rag', 'r', 'pytorch', 'langchain']",knn_inference,True,4,True,ok,"['pytorch', 'langchain']","['r', 'rag']",{},0.5,"['pytorch', 'langchain']","pytorch, langchain","pytorch, langchain",llm_validated_with_rescue,llm_validated_with_rescue,True,2,2,"pytorch, langchain",High
23,AI Engineer,AI Engineer,Leidos,United States,Redstone Arsenal,redstone arsenal,Unspecified,Mid-level,Adzuna,128000.0,128000.0,128000.0,USD,2026-02-21,2026.0,2.0,2026-02,"Description At Leidos,you'llcontribute to AI solutions that serve critical national and global missions-ranging from defense and intelligence tohealthcare, energy, and space exploration. Our work emphasizes Trusted Mission AI: systems that are transparent, ethical, resilient, andaccountable.You'llcollaborate with multidisciplinary teams to transition AI research into operational environments where accuracy, security,and reliability are non-negotiable. Joining Leidos means applying yourexpertise…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['nlp', 'computer vision', 'python', 'azure', 'rag', 'fine-tuning']","['nlp', 'computer vision', 'python', 'azure', 'rag', 'fine-tuning']",knn_inference,True,6,True,ok,"['nlp', 'computer vision', 'python']","['azure', 'fine-tuning', 'rag']",{},0.5,"['nlp', 'computer vision', 'python']","nlp, computer vision, python","nlp, computer vision, python",llm_validated_with_rescue,llm_validated_with_rescue,True,3,3,"nlp, computer vision, python",High
24,AI Engineer,AI Engineer,"CGI Technologies and Solutions, Inc.",United States,Lafayette,lafayette,Unspecified,Mid-level,Adzuna,158000.0,158000.0,158000.0,USD,2026-02-03,2026.0,2.0,2026-02,"AI Engineer Category: Analytics and Emerging Digital Technologies Main location: United States, Louisiana, Lafayette Position ID: J0126-2458 Employment Type: Full Time Position Description: Join a transformative federal technology initiative and help build AI-driven solutions that modernize mission-critical systems! As an AI Engineer, you'll design and deploy machine learning models, integrate AI workflows into enterprise applications, and enable automation at scale. If you're passionate about …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['nlp', 'rag', 'langchain', 'docker', 'python']","['nlp', 'rag', 'langchain', 'docker', 'python']",knn_inference,True,5,True,ok,"['nlp', 'langchain', 'docker', 'python']",['rag'],{},0.8,"['nlp', 'langchain', 'docker', 'python']","nlp, langchain, docker, python","nlp, langchain, docker, python",llm_validated_with_rescue,llm_validated_with_rescue,True,4,4,"nlp, langchain, docker, python",High
25,AI Engineer with Azure Databricks,AI Engineer with Azure Databricks,Genesis10,United States,Charlotte,charlotte,Hybrid,Senior,Adzuna,100000.0,100000.0,100000.0,USD,2026-02-03,2026.0,2.0,2026-02,"Genesis10 is seeking an AI Engineer with Azure Databricks with our financial services client in Charlotte, NC. This is a 6 month contract hybrid position. Summary: We are seeing a highly skilled senior AI Engineer to join our innovative team. The ideal candidate will be responsible for developing and deploying intelligent AI solutions using VS Code, Azure AI Studio, and Databricks. You will integrate AI powered solutions across multiple channels like Web applications, etc. Key Responsibilities:…",500,True,Data Engineer,1.0,rule,data engineer,Azure,['azure'],True,1,[],['azure'],original,True,1,False,not_validated,[],[],{},0.0,['azure'],azure,azure,original,original,True,1,1,azure,Medium
26,AI Engineer,AI Engineer,Zions Bancorporation,United States,Cushing,cushing,Unspecified,Mid-level,Adzuna,181000.0,181000.0,181000.0,USD,2026-02-13,2026.0,2.0,2026-02,"Zions Bancorporation's Enterprise Technology and Operations (ETO) team is transforming what it means to work for a financial institution. With a commitment to technology and innovation, we have been providing our community, clients and colleagues the best experience possible for over 150 years. Help us transform our workforce of the future, today. We are seeking a dynamic and visionary AI Engineer to join our newly establishedInnovation Lab. In this pivotal role, you will combine core software …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['azure', 'openai', 'aws']","['azure', 'openai', 'aws']",knn_inference,True,3,True,ok,"['azure', 'openai']",['aws'],{},0.6666666666666666,"['azure', 'openai']","azure, openai","azure, openai",llm_validated_with_rescue,llm_validated_with_rescue,True,2,2,"azure, openai",Very High
27,AI Engineer,AI Engineer,Cognizant,United States,Wake Island,wake island,Unspecified,Mid-level,Adzuna,106000.0,106000.0,106000.0,USD,2026-01-09,2026.0,1.0,2026-01,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, SQL","['database management systems', 'python']",True,2,[],"['database management systems', 'python']",original,True,2,False,not_validated,[],[],{},0.0,"['database management systems', 'python']","database management systems, python","database management systems, python",original,original,True,2,2,"database management systems, python",Medium
28,AI Engineer,AI Engineer,Cognizant,United States,Pierre,pierre,Unspecified,Mid-level,Adzuna,173000.0,173000.0,173000.0,USD,2026-01-09,2026.0,1.0,2026-01,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, SQL","['database management systems', 'python']",True,2,[],"['database management systems', 'python']",original,True,2,False,not_validated,[],[],{},0.0,"['database management systems', 'python']","database management systems, python","database management systems, python",original,original,True,2,2,"database management systems, python",Very High
29,AI Engineer,AI Engineer,Cognizant,United States,Five Points,five points,Unspecified,Mid-level,Adzuna,129000.0,129000.0,129000.0,USD,2026-01-09,2026.0,1.0,2026-01,"Position Overview Cognizant is seeking a highly skilled and innovative AI Engineer to join our AI & Data Science team. The ideal candidate will have exposure in Python, and SQL and will be responsible for data exploration and AI development. This role involves designing and developing scalable AI solutions and data pipelines for structured, semi-structured, and unstructured data, enabling advanced analytics and intelligent automation across the organization. Key Responsibilities  Build, train, …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, SQL","['database management systems', 'python']",True,2,[],"['database management systems', 'python']",original,True,2,False,not_validated,[],[],{},0.0,"['database management systems', 'python']","database management systems, python","database management systems, python",original,original,True,2,2,"database management systems, python",High
